ticker,name
jppower.bo,jaiprakash power ventures limited
jpolyinvst.ns,jindal poly investment and finance company limited
jpinfratec.bo,jaypee infratech limited
jktyre.ns,jk tyre & industries limited
jkpaper.ns,jk paper limited
jisldvreqs.ns,jain irrigation systems limited
jindcot.ns,jindal cotex limited
jindalsaw.ns,jindal saw limited
jetkingq.bo,jetking infotrain limited
jetairways.bo,jet airways (india) ltd.
jctltd.bo,jct ltd.
jbfind.ns,jbf industries limited
jameswarren.bo,james warren tea ltd
jaihindpro.ns,jaihind projects limited
jagsonfi.bo,jagsonpal finance & leasing ltd
jagran.ns,jagran prakashan limited
jmfinancil-eq.ns,jm financial inr1
divyajyq.bo,divya jyoti industries ltd
bjdup.bo,b.j.duplex boards ltd.
jagsnpharm-eq.ns,jagsonpal pharmace inr5
jamnaauto.ns,jamna auto industries limited
jaicorpltd.ns,jai corp limited
jaimi.bo,jai mata industries ltd.
jma.ns,jullundur motor agency (delhi) limited
jyotistruc-eq.ns,jyoti structures inr2
jyotires.bo,jyoti resins & adhesives ltd.
jupiterin.bo,jupiter infomedia ltd.
jensonicol.bo,jenson & nicholson (india) ltd
jklakbbph.bo,jklakshmi*
justdial.ns,just dial limited
jaritex.bo,kintech renewables limited
jayengy.bo,jay energy and s.energies ltd.
jkil.ns,j. kumar infraprojects limited
jayatma.bo,jayatma spinners limited
jayamel.bo,jayant mercantile co. ltd.
rjbiotech.bo,r j bio-tech ltd
jindworld.bo,jindal worldwide ltd.
j&kbank.ns,the jammu and kashmir bank limited
jindalstel.bo,jindal steel & power ltd.
jindalpoly.bo,jindal poly films ltd.
jpassociat.bo,jaiprakash associates ltd.
jindonl.bo,kashyap tele-medicines limited
jagpro.bo,veronica production ltd
justdial-eq.ns,just dial ltd inr10
jisldvreqs.bo,jain irrigation systems ltd.
jpassociat6.bo,jpassociat6.bo
jstl.bo,jeevan scientific technology l
jkagri.bo,florence investech limited
j&kbank-eq.ns,the jammu & kashmir bank limite
jamehot.bo,james hotels ltd
jetinfra.bo,jet infraventure limited
jindalsaw.bo,jindal saw ltd.
jamnaauto-eq.ns,jamna auto industries limited
jswsteel-p2.ns,jsw steel ltd 0.01% prf 15/03/1
jenburph.bo,jenburkt pharmaceuticals ltd.
cjgel.bo,c.j. gelatine products ltd.
jctel-eq.ns,jct electronics inr1.00
jlmori.bo,j. l. morison (india) limited
pcjeweller.ns,pc jeweller limited
jattaindus.bo,jattashankar industies ltd.
jswhl-eq.ns,jsw holdings limit inr10
jaykay.bo,jaykay enterprises ltd.
jsl.bo,jindal stainless limited
jaysyn.bo,jaysynth dyestuff india ltd.
jmcproject.bo,jmc projects (india) ltd.
jtlinfra.bo,jtl infra ltd.
narbada.bo,narbada gems and jewellery ltd
tarajewels.ns,tara jewels limited
jayush.bo,jay ushin limited
jswenergy.ns,jsw energy limited
jaynecoind-eq.ns,jayaswal neco ind inr10
jumbo.bo,jumbo bag ltd.
saijeev.bo,sai jeevadhara finance limited
jumbfnl.bo,jumbo finance ltd.
jbfind.bo,jbf industries limited
jkcement.ns,j.k. cement limited
jumbo-bz.ns,jumbo-bz.ns
jkpaper-eq.ns,jk paper limited
jindhot.bo,jindal hotels ltd
jsl6.bo,jsl6.bo
juniorbees.ns,goldman sachs junior bees etf
jagsonai.bo,jagson airlines ltd.
jindcot-eq.ns,jindal cotex limited
jaicorpltd6.bo,jaicorpltd6.bo
ajbro.bo,a.j.brothers ltd.
jikind.bo,jik industries ltd.
lypsagems.bo,lypsa gems & jewellery ltd
josts.bo,josts engineering company ltd
jindalphot.ns,jindal photo limited
jaibalaji-eq.ns,jai balaji industries limited
jaihinds.bo,jaihind synthetics limited
ajil.bo,atlas jewellery india limited
jktyre.bo,jk tyre & industries ltd.
jagsnpharm.bo,jagsonpal pharmaceuticals ltd.
jmdtelefilm.bo,jmd ventures limited
jaybarmaru.bo,jay bharat maruti ltd.
jagdamd.bo,jagdamd.bo
joyrealty.bo,joy realty ltd
jmpcast.bo,jmp castings ltd.
jayagrogn.ns,jayant agro-organics limited
pcjeweller.bo,pc jeweller ltd.
jaibalaji.ns,jai balaji industries limited
jindworld.ns,jindal worldwide limited
jkpaper.bo,jk paper ltd.
jikind-be.ns,jik industries inr10
jmdepackr.bo,jmde packaging & realties ltd.
jaimatag.bo,jai mata glass ltd.
jmtautoltd-eq.ns,jmt auto limited
jswhl.ns,jsw holdings limited
jindalphot.bo,jindal photo ltd.
jklakshmi.bo,jk lakshmi cement limited
jtaparia.bo,j. taparia projects ltd
jollyrid.bo,jolly rides ltd.
jiyaeco.bo,jiya eco-products limited
jisljaleqs6.bo,jisljaleqs6.bo
jaihindpro-eq.ns,jaihind projects limited
shjagdm.bo,shree jagdambe paper mills ltd.
kmsugar.bo,km sugar mills ltd.
skpmil.bo,shree krishna paper mills & industries ltd.
kprmill.ns,k.p.r. mill limited
kpit.ns,kpit technologies limited
kotakbank.ns,kotak mahindra bank limited
konarksy.bo,konark synthetic ltd.
sonasteer.bo,sona koyo steering systems ltd
shkartp.bo,shree karthik papers ltd.
kuwerin.bo,kuwer industries limited
kunstoff.bo,kunststoffe industries
ktkbank.bo,karnataka bank ltd.
ktil.ns,kesar terminals & infrastructure limited
ksk.ns,ksk energy ventures limited
ksk.bo,ksk energy ventures limited
kserasera.ns,kss limited
kscl.ns,kaveri seed company limited
kscl.bo,kaveri seed company limited
krebsbio.bo,krebs biochemicals & industries ltd
kotharipro.ns,kothari products limited
kotharipro.bo,kothari products ltd
kotarisug.ns,kothari sugars and chemicals limited
kotakbank.bo,kotak mahindra bank limited
kopran.ns,kopran limited
kopran.bo,kopran limited
koffbreak.bo,koffee break pictures limited
koatoolin.bo,koa tools india limited
knrcon.ns,knr constructions limited
knrcon.bo,knr constructions limited.
kniwe.bo,knitworth exports ltd.
klkelec.bo,klk electrical ltd
kitex.ns,kitex garments limited
kirlpnu.bo,kirloskar pneumatic company ltd
kirloseng.ns,kirloskar oil engines limited
kiransy-b.bo,kiran syntex ltd.
kilpest.bo,kilpest india ltd.
kilburn.bo,kilburn office automation ltd.
khoday.bo,khoday india limited
kbil.ns,kirloskar brothers investments ltd.
khandse.bo,khandwala securities limited
khaitanltd.bo,khaitan (india) ltd.
kgl.ns,karuturi global limited
kesarent.ns,kesar enterprises limited
kennamet.bo,kennametal india limited
kengi.bo,kengold (india) ltd.
kemp.bo,kemp & co. ltd
kec.ns,kec international limited
kddl.bo,kddl limited
kcpsugind.ns,k.c.p. sugar and industries corporation limited
kcp.bo,the kcp limited
kayceei.bo,kaycee industries ltd.
katwaud.bo,shri keshav cements and infra limited
katrspg.bo,katare spinning mills ltd.
gkcons.bo,g.k. consultants limited
eskay.bo,eskay k'n'it (india) limited
ekc.ns,everest kanto cylinder limited
daichi.bo,dai-ichi karkaria limited
abmkno.bo,abm knowledgeware limited
kritiind.bo,kriti industries (india) ltd.
kajarir.bo,kic metaliks ltd.
kslind.bo,ksl and industries ltd
apowertool.bo,consortex karl doelitzch (indi
kilburnc.bo,kilburn chemicals limited
kaira.bo,kaira can company limited
ksl.ns,kalyani steels limited
kushal.bo,kushal tradelink ltd
kanelind.bo,kanel industries limited
kansainer.ns,kansai nerolac paints limited
kandagiri.bo,kandagiri spinning mills ltd.
skumarsyn.ns,s. kumars nationwide ltd.
kicl-eq.ns,kalyani investment company limi
mrf.ns,mrf limited
tatasteel.ns,tata steel limited
spicejet.bo,spicejet limited
rpower.bo,reliance power limited
reliance.ns,reliance industries limited
nocil.ns,nocil limited
icil.ns,indo count industries limited
warner.bo,warner multimedia ltd.
walchpf.bo,walchand peoplefirst limited
tcs.ns,tata consultancy services limited
tci.bo,transport corp. of india ltd.
suranaind.ns,surana industries limited
stanpack.bo,stanpacks (india) limited
sasken.ns,sasken technologies limited
renuka.bo,shree renuka sugars limited
relinfra.ns,reliance infrastructure limited
relcapital.bo,reliance capital limited
rain.bo,rain industries limited
pratibha.bo,pratibha industries ltd.
prajind.ns,praj industries limited
poltc.bo,polygenta technologies limited
olyoi.bo,olympic oil industries ltd.
nicco.ns,nicco corporation limited
mpilcorpl.bo,mpil corporation limited
maruti.ns,maruti suzuki india limited
lupin.ns,lupin limited
infy.bo,infosys limited
indramedco.bo,indraprastha medical corp. ltd.
cairn.ns,cairn india limited
zyduswell.bo,zydus wellness limited
zenotech.bo,zenotech laboratories limited
zenithbir.ns,zenith birla (india) limited
yesbank.ns,yes bank limited
yashppr.bo,yash papers limited
xproindia.ns,xpro india limited
wipro.bo,wipro ltd.
welspsy.bo,aym syntex limited
voltas.ns,voltas limited
vishmel.bo,vishal malleables ltd.
visakaind.ns,visaka industries limited
vardhch.bo,vardhaman laboratories ltd.
vantage.bo,vantage corporate services ltd.
utltd.bo,ut ltd.
usheragro.ns,usher agro limited
unistrmu.bo,unistar multimedia limited
ufo.ns,ufo moviez india limited
uflex.ns,uflex limited
tv18brdcst.ns,tv18 broadcast limited
tritonv.bo,triton valves ltd
trigyn.ns,trigyn technologies limited
tricom.bo,tricom india limited
trent.ns,trent limited
tidewater.ns,tide water oil co. (india) ltd.
techm.ns,tech mahindra limited
tatamotors.ns,tata motors limited
tatachem.ns,tata chemicals limited
tatachem.bo,tata chemicals limited
sunpharma.ns,sun pharmaceutical industries limited
sujanauni.ns,sujana universal industries limited
sudin.bo,sudev industries ltd.
subros.ns,subros
sturdy.bo,sturdy industries ltd
spiceisl.bo,spice islands apparels ltd.
southbank.ns,the south indian bank limited
softsol.bo,softsol india ltd.
skyind.bo,sky industries limited
skrabul.bo,shukra bullions ltd.
skfindia.ns,skf india limited
simplex.bo,simplex projects ltd.
siemens.ns,siemens limited
shukun.bo,shukun construction ltd.
shreecem.bo,shree cement limited
rmcl.bo,radha madhav corp. ltd.
muthtfn.bo,muthoot capital services ltd.
murliind.ns,murli industries ltd.
mphasis6.bo,mphasis6.bo
moschip.bo,moschip semiconductor technology limited
mindtree.ns,mindtree limited
mindaind.ns,minda industries limited
megasoft.ns,megasoft limited
mcleodruss.bo,mcleod russel india ltd.
mcdowell-n.ns,united spirits inr10
magnum.ns,magnum ventures limited
mafatind.bo,mafatlal industries limited
sabtn.ns,sri adhikari brothers television network limited
rajtv.bo,raj television network ltd.
pnc.ns,pritish nandy communications ltd
ntpc.ns,ntpc limited
nile.bo,nile ltd.
nettlinx.bo,nettlinx ltd
nclind.ns,ncl industries limited
nbcc.ns,nbcc (india) limited
natperox.bo,national peroxide limited
znewsaga.bo,new sagar trading co.ltd.
unitedtea.ns,the united nilgiri tea estates company limited
suntv.bo,sun tv network ltd
srinacha.bo,sri nachammai cotton mills limited
smartlink.bo,smartlink network systems limited
ramanews.ns,shree rama newsprint limited
pnc.bo,pritish nandy communications ltd.
ntpc.bo,ntpc ltd.
nprfin.bo,npr finance ltd.
novis.bo,nova iron & steel ltd.
nntl.bo,n2n technologies limited
nmdc.ns,nmdc limited
nitinspin.bo,nitin spinners ltd.
nitco.bo,nitco limited
nirlon.bo,nirlon ltd.
niraj.bo,niraj cement structurals ltd
nila.bo,nila infrastructures ltd
nijjer.bo,nijjer agro foods ltd.
niittech.bo,niit technologies limited
niitltd.ns,niit limited
niharinf.bo,nihar info global ltd
nidhgrn.bo,nidhi granites limited
nhpc.ns,nhpc limited
ngind.bo,n.g. industries limited
nfl.bo,national fertilizers ltd.
neyvelilig.bo,neyveli lignite corporation limited
networth.bo,monarch networth capital limited
nelco.ns,nelco limited
nelcast.ns,nelcast limited
nelcast.bo,nelcast limited
neelkan.bo,neelkanth rockminerals ltd.
neccltd.ns,north eastern carrying corporation limited
neagi.bo,neelamalai agro industries ltd.
sail.bo,steel authority of india limited
concor.ns,container corporation of india limited
uniqueo.bo,unique organics ltd.
unionbank.ns,union bank of india
tinplate.bo,the tinplate company of india limited
storeone.ns,soril infra resources limited
storeone.bo,store one retail india ltd
sci.bo,the shipping corporation of india limited
rajoil.bo,raj oil mills limited
oxfordin.bo,oxford industries ltd
ovobele.bo,ovobel foods ltd.
oudhsug.ns,the oudh sugar mills limited
oscar.bo,oscar investments ltd.
orientltd.bo,orient press ltd.
orientbell.bo,orient bell limited
orgcoat.bo,organic coatings ltd.
orchidchem.bo,orchid pharma limited
orbitcorp.ns,orbit corporation limited
omnitech.bo,omnitech infosolutions limited
omkarchem.bo,omkar speciality chemicals ltd
omkar.bo,omkar overseas ltd
omaxe.ns,omaxe limited
omaxe.bo,omaxe ltd.
omaxauto.ns,omax autos limited
okpla.bo,ok play india limited
oil.ns,oil india limited
oil.bo,oil india limited
ocl.bo,ocl india limited
oberoirlty.ns,oberoi realty limited
mrutior--.bo,maruti organics ltd.
mcx.ns,multi commodity exchange of india limited
m100.ns,motilal oswal most shares midcap 100 etf
laopala.ns,la opala rg limited
lahotiov.bo,lahoti overseas limited
ioc.bo,indian oil corporation limited
iob.bo,indian overseas bank
gkb.bo,gkb ophthalmics ltd
centralbk.bo,central bank of india
birlaeric.ns,birla cable limited
bankindia.ns,bank of india limited
bang.ns,bang overseas limited
bang.bo,bang overseas ltd.
akshoptfbr.bo,aksh optifibre limited
acgl.bo,automobile corp. of goa ltd.
aban.ns,aban offshore limited
onwardtec.ns,onward technologies limited
oceagro.bo,ocean agro (india) limited
transpekf.bo,optimus finance limited
oxide.bo,oxides & specialities ltd.
gulfoillub.bo,gulf oil lubricants india ltd
shiv-vani-eq.ns,shiv-vani-eq.ns
saberorga.ns,sabero organics gujrat
tci.ns,transport corporation of india limited
mcx6.bo,mcx6.bo
orientppr.bo,orient paper & industries ltd.
orntsyn.bo,orntsyn.bo
sbt6.bo,sbt6.bo
orbit.bo,orbit multimedia ltd.
bankbaroda.bo,bank of baroda
mnsgoil.bo,mansinghka oil products ltd.
concor4.bo,concor4.bo
sahara.bo,sahara one media and entertainment limited
orientbell.ns,orient bell limited
optiemus.bo,optiemus infracom ltd
ortinlabss-be.ns,ortin laboratories ltd
orbtexp-eq.ns,orbit exports ltd inr10
svogl.bo,svogl oil gas and energy limit
tubeinvest6.bo,tubeinvest6.bo
svogl.ns,svogl oil gas and energy limited
dolphinoff.bo,dolphin offshore enterprises (
quintegra.ns,quintegra solutions limited
unqtymi.bo,union quality plastics limited
quintegra.bo,quintegra solutions limited
quickheal.ns,quick heal technologies limited
quasar.bo,quasar india ltd
quantbuild.bo,quantum build-tech ltd
qgoldhalf.ns,quantum gold etf
quintegra-eq.ns,quintegra solutions ltd.
quantdia.bo,quantum digital vision india ltd.
qnifty.ns,quantum index etf
qnifty.bo,quantum mutual fund - quantum index fund
qpro.bo,qpro infotech ltd.
quickheal.bo,quick heal technologies limite
qgoldhalf.bo,quantum mutual fund - quantum gold fund
quadrant.bo,quadrant televentures limited
quest.bo,quest softech (india) ltd
ruchistr.bo,ruchi strips & alloys ltd.
ruchisoya.ns,ruchi soya industries limited
rpil.bo,ritesh properties and industries ltd.
rflint.bo,rfl international ltd
rapicut.bo,rapicut carbides ltd.
indoco.ns,indoco remedies limited
gokul-be.ns,gokul refoils & so inr2
coaro.bo,coastal roadways limited
bselinfra.bo,bsel infrastructure realty limited
texrail.ns,texmaco rail & engineering limited
svcres.bo,svc resources ltd.
sunteck.bo,sunteck realty limited
sswrl.bo,shree steel wire ropes ltd.
shrajsynq.bo,shree rajasthan syntex ltd.
samkrg.bo,samkrg pistons and rings limited
uttamvalue.ns,uttam value steels limited
uttamstl.ns,uttam galva steels limited
ushdi.bo,ushdev international limited
ushamart.ns,usha martin limited
uplbbph.bo,upl
univstar.bo,universal starch chem allied ltd.
univprim.bo,universal prime aluminium ltd.
univarts.bo,universal arts ltd.
unitedte.bo,united textiles limited
unitech.ns,unitech limited
uniply.ns,uniply industries limited
unienter.ns,uniphos enterprises ltd.
uniabexal.bo,uni abex alloy products ltd.
umesltd.ns,usha martin education & solutions limited
ugarsugar.ns,the ugar sugar works limited
sinnar.bo,sinnar bidi udyog ltd.
cub.ns,city union bank limited
carboruniv.bo,carborundum universal limited
bvcl.ns,barak valley cements limited
vyvraut.bo,vybra automet ltd.
vyapar.bo,vyapar industries ltd.
vsttillers.ns,v.s.t. tillers tractors limited
vstind.ns,vst industries limited
voltas6.bo,voltas6.bo
voltas.bo,voltas ltd.
voltamp.ns,voltamp transformers limited
vividind.bo,vivid global industries limited
vividha.bo,visagar polytex ltd.
visuintl.ns,ed & tech international limited
virtuals.bo,virtualsoft systems ltd
vipind.ns,vip industries limited
vinyofl.bo,vinyoflex ltd.
vimtalabs.ns,vimta labs limited
vijsolx.bo,vijay solvex ltd
videoind.ns,videocon industries limited
vesuvius.bo,vesuvius india limited
venlonent.bo,venlon enterprises limited
venkphr.bo,venkat pharma ltd
veerenrgy.bo,veer energy & infrastructure ltd
vardhindq.bo,vardhman industries limited
valuemart.bo,valuemart info technologies ltd.
swastivi.bo,swasti vinayaka synthetics limited
spectacle.ns,spectacle ventures limited
shivana.bo,shivani vanaspati ltd.
royalcu.bo,royal cushion vinyl products
lakshvilas.bo,the lakshmi vilas bank limited
ipru2296.bo,ipru2296.bo
hoteleela.ns,hotel leelaventure limited
hoteleela.bo,hotel leelaventure limited
hmvl.ns,hindustan media ventures limited
geecee.bo,geecee ventures ltd
bvcl.bo,barak valley cement ltd.
vistr.bo,vishvprabha trading ltd.
vll.bo,virat leasing limited
silicon.bo,silicon valley infotech limited
siddha.bo,siddha ventures ltd
vlsfinance.ns,vls finance limited
jyotpol.bo,jyoti poly vinyl ltd.
visuintl-eq.ns,visu international inr10
vikasgran.bo,vikas granaries ltd
vtl6.bo,vardhman textiles limted
valechaeng-eq.ns,valecha engineerin inr10
vidhidye.ns,vidhi specialty food ingredients limited
vkjinfra.bo,vkj infradevelopers ltd
vsfproj.bo,vsf projects limited
vrllog.bo,vrl logistics limited
vidirmt.bo,vidarbha iron & steel corporat
vindhyatel.bo,vindhya telelinks ltd.
vardmnpoly-eq.ns,vardhman polytex inr10
vishinv.bo,vishvakirti investment ltd.
calcom.bo,calcom visions ltd.
zvinadtr.bo,vinaditya trading co.ltd.
vstind.bo,vst industries ltd.
shrvindppr.bo,shree vindhya paper mills ltd.
victmill.bo,the victoria mills limited
vcu.bo,vcu data management ltd
geecee-eq.ns,geecee ventures limited
hoteleela6.bo,hoteleela6.bo
vbcind.bo,vbc industries ltd.
axonfin.bo,axonfin.bo
vaibhavgbl.bo,vaibhav global ltd
valechaeng.ns,valecha engineering limited
vama.bo,vama industries ltd.
uttamvalue.bo,uttam value steels ltd.
verolab.bo,veronica laboratories ltd.
morgan.bo,morgan ventures limited
vcclltd.bo,vccl ltd.
viratcra.bo,virat crane industries ltd.
hindujaven.ns,hinduja ventures limited
vxlinstr.bo,vxl instruments ltd.
vinvani.bo,vinayak vanijya ltd.
vssl-eq.ns,vardhman special steels limited
vimtalabs.bo,vimta labs ltd.
vaghani.bo,vaghani techno-build limited
volgaair.bo,volga air technics ltd.
viralsyn.bo,viralsyn.bo
shreeashta6.bo,shreeashta6.bo
viaanindus.bo,viaan industries limited
virpp.bo,virinchi pp
vikaseco-eq.ns,vikas ecotech limi inr1
spectacle-eq.ns,spec ventures ltd inr1
voracon.bo,vora constructions ltd.
v2retail.bo,v2 retail ltd.
chakveg.bo,chakan vegoils ltd.
smcsrvird-mf.ns,sundaram asset man micro cap vi
vikramth.bo,vikram thermo (india) ltd
vtxind-be.ns,vtxind-be.ns
technvisn.bo,technvision ventures ltd.
visionltd.bo,vision organics ltd.
venmax.bo,venmax drugs and pharmaceutica
vipcorp.bo,vipcorp.bo
doonval.bo,doon valley rice ltd.
aadhaarven.bo,aadhaar ventures india ltd.
vippysp.bo,vippy spinpro ltd.
voguetex.bo,vogue textiles ltd.
vamshiru.bo,vamshi rubber limited
vmart.ns,v-mart retail limited
geecee.ns,geecee ventures limited
vms.bo,vms industries ltd.
vinylindia.bo,vinyl chemicals (india) ltd.
vinylindia.ns,vinyl chemicals india ltd.
gnfc.ns,gujarat narmada valley fertilizers & chemicals limited
vtxind.ns,vtxind.ns
vesuvius.ns,vesuvius india limited
vatsaedu.bo,vatsa educations ltd.
vguard.bo,v-guard industries limited
vaibhavgbl.ns,vaibhav global limited
valueind-eq.ns,value industries limited
viseshinfo.bo,visesh infotecnics ltd.
vadilalind.ns,vadilal industries limited
velvint.bo,velvette international pharma
svartcorp.bo,swasti vinayaka art and herita
vhclindus.bo,vhcl industries ltd.
vantel.bo,vantel technologies ltd.
uttamvalue-eq.ns,uttam value steels inr1
ipru8496.bo,ipru8496.bo
vimaloil.bo,vimal oil & foods ltd.
videoind-eq.ns,videocon industries limited
vssl.bo,vardhman special steels ltd.
vatsamus.bo,vatsa music ltd.
arvrtri.bo,avtil enterprise ltd
vaswani.ns,vaswani industries limited
softrakv.bo,softrak venture investment ltd
pvp.bo,pvp ventures ltd
tatiaglob.bo,tatia global venture ltd.
globalvect-be.ns,global vectra heli inr10
zwelcast.bo,welcast steels ltd.
wpil.bo,wpil limited
wisec.bo,wisec global limited
wipro.ns,wipro limited
winsomtx.bo,winsome textile industries ltd.
winroc.bo,winro commercial (india) ltd.
wheels.bo,wheels india limited
welti.bo,welterman international limited
welspunind.bo,welspun india ltd.
wanbury.ns,wanbury limited
wabcoindia.bo,wabco india ltd.
tspiritual.bo,t spiritual world ltd
todays.ns,todays writing instruments limited
ramrat.bo,ram ratna wires ltd
iswl.bo,india steel works limited
inoxwind.bo,inox wind limited
ibwsl.ns,soril holdings and ventures limited
hindtin.bo,hindustan tin works ltd.
firstwin.ns,first winner industries limited
firstwin.bo,first winner industries limited
